"Country","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational","Year"
2,"BOT1066",1,46,4,4,3,2,5,3,2,3,3,2,NA,2,2,2,NA,NA,NA,NA,4,3,3,4,2,2,2005
2,"BOT1069",1,32,9,3,0,0,4,3,1,3,9,9,NA,9,9,2,NA,NA,NA,NA,3,3,3,3,9,9,2005
2,"BOT1072",1,18,4,4,3,1,4,3,3,2,1,1,NA,1,1,1,NA,NA,NA,NA,1,3,3,4,1,1,2005
2,"BOT1073",2,56,2,2,2,2,4,1,1,3,9,9,NA,9,9,2,NA,NA,NA,NA,4,9,3,3,9,9,2005
2,"BOT1074",2,59,2,2,9,2,2,9,9,9,9,9,NA,9,9,1,NA,NA,NA,NA,5,4,3,3,9,9,2005
2,"BOT1075",2,37,2,1,0,0,4,3,3,3,2,3,NA,9,1,1,NA,NA,NA,NA,9,3,3,3,9,9,2005
2,"BOT1076",2,37,2,2,1,2,5,2,1,3,9,9,NA,9,9,2,NA,NA,NA,NA,2,3,3,4,9,9,2005
2,"BOT1078",2,66,3,4,0,0,4,9,9,3,9,1,NA,1,9,2,NA,NA,NA,NA,2,9,3,3,2,2,2005
2,"BOT1082",2,25,4,4,3,1,2,1,1,2,2,2,NA,1,9,1,NA,NA,NA,NA,3,9,3,3,2,2,2005
2,"BOT1083",2,33,1,1,3,2,5,1,1,3,1,2,NA,2,2,2,NA,NA,NA,NA,1,4,1,4,2,2,2005
2,"BOT1084",2,84,2,1,3,2,3,0,3,3,2,2,NA,2,2,1,NA,NA,NA,NA,4,1,1,4,2,2,2005
2,"BOT1086",2,32,4,2,2,0,4,2,2,2,0,0,NA,0,0,2,NA,NA,NA,NA,3,3,1,3,0,0,2005
2,"BOT1088",2,65,4,4,1,2,3,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,2,2,3,1,1,2005
2,"BOT1089",2,31,2,2,3,0,9,0,0,2,1,1,NA,1,1,2,NA,NA,NA,NA,3,3,3,3,0,0,2005
2,"BOT1090",2,27,2,2,2,1,4,0,1,0,1,1,NA,1,9,1,NA,NA,NA,NA,4,3,4,4,1,1,2005
2,"BOT1091",2,34,4,4,3,2,5,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,1,3,4,4,9,9,2005
2,"BOT1092",2,35,1,4,2,0,5,3,3,3,1,1,NA,1,1,1,NA,NA,NA,NA,1,4,4,4,1,1,2005
